Ctrl + Alt + 7             eftMFD-OSB0
Ctrl + Alt + 8             eftMFD-OSB0
Ctrl + Alt + 9             eftMFD-OSB0
Ctrl + Alt + 0             eftMFD-OSB1
Ctrl + Alt + Num 1         eftMFD-OSB1
Ctrl + Alt + Num 2         eftMFD-OSB1
Ctrl + Alt + Num 3         eftMFD-OSB1
Ctrl + Alt + Num 4         eftMFD-OSB1
Ctrl + Alt + Num 5         eftMFD-OSB1
Ctrl + Alt + Num 6         eftMFD-OSB1
Ctrl + Alt + Num 7         eftMFD-OSB1
Ctrl + Alt + Num 8         eftMFD-OSB1
Ctrl + Alt + Num 9         eftMFD-OSB1
Ctrl + Alt + Num 0         eftMFD-OSB2
Shift + Alt + F            ightMFD-BrightnessDow
Shift + Alt + G            ightMFD-BrightnessU
Shift + Alt + 1            ightMFD-OSB0
Shift + Alt + 2            ightMFD-OSB0
Shift + Alt + 3            ightMFD-OSB0
Shift + Alt + 4            ightMFD-OSB0
Shift + Alt + 5            ightMFD-OSB0
Shift + Alt + 6            ightMFD-OSB0
Shift + Alt + 7            ightMFD-OSB0
Shift + Alt + 8            ightMFD-OSB0
Shift + Alt + 9            ightMFD-OSB0
Shift + Alt + 0            ightMFD-OSB1
Shift + Alt + Num 1        ightMFD-OSB1
Shift + Alt + Num 2        ightMFD-OSB1
Shift + Alt + Num 3        ightMFD-OSB1
Shift + Alt + Num 4        ightMFD-OSB1
Shift + Alt + Num 5        ightMFD-OSB1
Shift + Alt + Num 6        ightMFD-OSB1
Shift + Alt + Num 7        ightMFD-OSB1
Shift + Alt + Num 8        ightMFD-OSB1
Shift + Alt + Num 9        ightMFD-OSB1
Shift + Alt + Num 0        ightMFD-OSB2
Ctrl + F6                  adar-ACM30x2
Ctrl + F5                  adar-ACMboresigh
Ctrl + F7                  adar-ACMslewabl
Ctrl + F8                  adar-ACMvertica
F1                         adar-Airto Ai
F2                         adar-Airto Groun
F5                         adar-Antennatilt dow
F7                         adar-Antennatilt u
F6                         adar-Antennacente
Shift + F8                 adar-Barsca
Down                       adar-Cursordow
Left                       adar-Cursorlef
Right                      adar-Cursorrigh
Up                         adar-Cursoru
Shift + Down               adar-cursorsrese
Num 0                      adar-Designatetarge
Shift + F3                 adar-gaindecreas
Shift + F4                 adar-gainincreas
Shift + F9                 adar-GMFO
F10                        adar-GMpicture freez
Shift + F10                adar-GMsnowplo
Shift + F11                adar-HSDrange decreas
Shift + F12                adar-HSDrange increas
Pg Dn                      adar-locknext targe
Del                        adar-lockprevious targe
Shift + V                  adar-MaverickFO
F3                         adar-rangedecreas
F4                         adar-rangeincreas
Ctrl + F3                  adar-RangeKnob Dow
Ctrl + F4                  adar-RangeKnob U
Num ,                      adar-returnto searc
Shift + Alt + R            adar-RFInhibi
V                          adar-SOIFO
Ctrl + R                   adar-standb
F11                        adar-submodes/azimut
Alt + A                    kpit-RadarAltimeter OF
Shift + A                  kpit-RadarAltimeter O
Ctrl + A                   kpit-RadarAltimeter STDB
Alt + Y                    adio-Channelcycl
TAB                        adio-Men
Q                          adio-AWACScomman
W                          adio-Wingmancomman
E                          adio-Elementcomman
R                          adio-Flightcomman
T                          adio-ATCmessag
Y                          adio-Tankermessag
Home                       WR-Lo
Shift + Pg Up              WR-Nava
Ins                        WR-Priorit
Shift + Pg Dn              WR-Handof
Shift + Ins                WR-Searc
Pg Up                      WR-TargetSeparat
Shift + Home               WR-Unknow
Caps-Lock                  im-2xtime compressio
-                          im-4Xtime acceleratio
`                          im-Cha
ESC                        im-Exi
L                          im-cockpitsetup loa
S                          im-cockpitsetup sav
Shift + P                  im-Freez
Shift + L                  im-labelsnea
Ctrl + L                   im-labelsfa
P                          im-Paus
Print-Scr                  im-Screensho
Alt + R                    im-Showscor
Alt + S                    im-Soundof
Alt + B                    im-Sounddow
Alt + N                    im-Soundu
Ctrl + Caps-Lock           im-TimeAccel De
Shift + Caps-Lock          im-TimeAccel In
Ctrl + Down                OTAS-TMSDow
Ctrl + Left                OTAS-TMSLef
Ctrl + Right               OTAS-TMSRigh
Ctrl + Up                  OTAS-TMSU
